fold,sub_fold,TP,FP,FN,Type
s15,15_0101disgustingteeth,1,10,0,macro-expression
s15,15_0102eatingworms,1,5,2,macro-expression
s15,15_0401girlcrashing,1,23,1,macro-expression
s15,15_0402beatingpregnantwoman,1,18,4,macro-expression
s15,15_0502funnyerrors,0,12,2,macro-expression
s15,15_0503unnyfarting,0,9,1,macro-expression
s15,15_0505funnyinnovations,0,11,1,macro-expression
s15,15_0508funnydunkey,0,3,0,macro-expression
s16,16_0101disgustingteeth,3,9,4,macro-expression
s16,16_0102eatingworms,3,3,5,macro-expression
s16,16_0401girlcrashing,1,21,3,macro-expression
s16,16_0402beatingpregnantwoman,3,21,6,macro-expression
s16,16_0502funnyerrors,2,10,4,macro-expression
s16,16_0505funnyinnovations,2,9,6,macro-expression
s16,16_0507climbingthewall,2,20,2,macro-expression
s19,19_0102eatingworms,1,8,1,macro-expression
s19,19_0402beatingpregnantwoman,0,25,0,macro-expression
s19,19_0505funnyinnovations,1,9,0,macro-expression
s19,19_0507climbingthewall,0,21,1,macro-expression
s19,23_0502funnyerrors,0,10,0,macro-expression
s20,20_0502funnyerrors,1,12,2,macro-expression
s21,21_0101disgustingteeth,1,12,0,macro-expression
s21,21_0401girlcrashing,1,28,0,macro-expression
s22,22_0101disgustingteeth,3,7,7,macro-expression
s22,22_0102eatingworms,1,2,2,macro-expression
s22,22_0402beatingpregnantwoman,0,19,1,macro-expression
s22,22_0503unnyfarting,0,16,1,macro-expression
s22,22_0508funnydunkey,0,2,1,macro-expression
s23,23_0102eatingworms,0,0,2,macro-expression
s23,23_0402beatingpregnantwoman,1,5,2,macro-expression
s23,23_0503unnyfarting,0,0,0,macro-expression
s23,23_0507climbingthewall,1,19,0,macro-expression
s24,24_0101disgustingteeth,1,3,1,macro-expression
s24,24_0401girlcrashing,1,25,6,macro-expression
s24,24_0402beatingpregnantwoman,0,29,2,macro-expression
s24,24_0502funnyerrors,3,11,1,macro-expression
s24,24_0507climbingthewall,6,8,3,macro-expression
s25,25_0101disgustingteeth,0,14,0,macro-expression
s25,25_0102eatingworms,0,0,1,macro-expression
s25,25_0502funnyerrors,1,12,1,macro-expression
s25,25_0508funnydunkey,2,4,0,macro-expression
s26,26_0101disgustingteeth,1,10,0,macro-expression
s26,26_0102eatingworms,0,6,2,macro-expression
s26,26_0401girlcrashing,1,23,0,macro-expression
s26,26_0503unnyfarting,2,17,0,macro-expression
s27,27_0101disgustingteeth,1,10,4,macro-expression
s27,27_0102eatingworms,2,8,4,macro-expression
s27,27_0401girlcrashing,2,17,2,macro-expression
s27,27_0402beatingpregnantwoman,0,20,2,macro-expression
s27,27_0502funnyerrors,5,12,1,macro-expression
s27,27_0503unnyfarting,2,12,0,macro-expression
s27,27_0505funnyinnovations,2,10,1,macro-expression
s27,27_0507climbingthewall,2,7,1,macro-expression
s27,27_0508funnydunkey,1,2,0,macro-expression
s29,29_0502funnyerrors,0,12,0,macro-expression
s30,30_0101disgustingteeth,0,13,0,macro-expression
s30,30_0102eatingworms,0,5,2,macro-expression
s30,30_0401girlcrashing,1,28,2,macro-expression
s30,30_0502funnyerrors,3,14,3,macro-expression
s30,30_0503unnyfarting,0,18,2,macro-expression
s30,30_0505funnyinnovations,1,12,1,macro-expression
s30,30_0507climbingthewall,0,22,2,macro-expression
s31,31_0101disgustingteeth,1,12,7,macro-expression
s31,31_0401girlcrashing,1,24,2,macro-expression
s31,31_0402beatingpregnantwoman,2,33,4,macro-expression
s31,31_0502funnyerrors,0,9,1,macro-expression
s31,31_0503unnyfarting,0,17,1,macro-expression
s31,31_0505funnyinnovations,0,12,1,macro-expression
s31,31_0507climbingthewall,1,20,5,macro-expression
s32,32_0101disgustingteeth,1,6,1,macro-expression
s32,32_0102eatingworms,1,7,0,macro-expression
s32,32_0401girlcrashing,6,20,8,macro-expression
s32,32_0402beatingpregnantwoman,3,28,4,macro-expression
s32,32_0502funnyerrors,4,13,2,macro-expression
s32,32_0503unnyfarting,10,8,2,macro-expression
s32,32_0505funnyinnovations,2,14,2,macro-expression
s32,32_0507climbingthewall,0,20,2,macro-expression
s32,32_0508funnydunkey,0,5,0,macro-expression
s33,33_0102eatingworms,0,5,2,macro-expression
s33,33_0402beatingpregnantwoman,0,2,2,macro-expression
s34,34_0401girlcrashing,0,27,1,macro-expression
s34,34_0402beatingpregnantwoman,0,29,1,macro-expression
s34,34_0503unnyfarting,0,19,1,macro-expression
s35,35_0102eatingworms,0,6,0,macro-expression
s36,36_0401girlcrashing,0,27,1,macro-expression
s36,36_0505funnyinnovations,0,17,3,macro-expression
s37,37_0101disgustingteeth,0,4,1,macro-expression
s37,37_0402beatingpregnantwoman,2,23,2,macro-expression
s37,37_0502funnyerrors,1,12,1,macro-expression
s37,37_0505funnyinnovations,1,1,5,macro-expression
s37,37_0507climbingthewall,3,15,3,macro-expression
s37,37_0508funnydunkey,0,3,2,macro-expression
s38,38_0502funnyerrors,3,11,3,macro-expression
s38,38_0507climbingthewall,1,4,4,macro-expression
s40,40_0401girlcrashing,0,7,2,macro-expression
s40,40_0502funnyerrors,0,2,2,macro-expression
s40,40_0503unnyfarting,1,5,0,macro-expression
